Review (turkish),Sentiment,Likes,Shares,Verified,Location,Gender
iPhone 16 gerçekten çok iyi! Kamerası ve performansı mükemmel! 👏📱,Positive,134,23,True,Istanbul,Female
İnanılmaz bir ekran kalitesi Pil ömrü de oldukça uzun ,Positive,98,15,True,Ankara,Male
"iPhone 16 aşırı pahalı, bu fiyata değmez... 😒💸",Negative,45,8,False,Izmir,Male
Yine mi aynı tasarım Apple Hiç yenilik yok ,Sarcastic,87,12,False,Antalya,Female
Telefon süper hızlı! İşlemci canavar resmen. 💪🚀,Positive,154,27,True,Bursa,Male
Pil performansı beklediğimden çok daha iyi çıktı #ŞarjSüresi,Positive,121,19,True,Adana,Female
"iPhone 16, beklentileri karşılamadı. Kamera iyi değil. 📷👎",Negative,29,4,False,Gaziantep,Male
Her sene aynı fiyat artışı ,Sarcastic,64,9,False,Diyarbakir,Male
Kamerası bu kadar net olur mu ya! Çok iyi! 😍📸,Positive,187,31,True,Istanbul,Female
Fiyatlar uçmuş ama telefon fena değil ,Sarcastic,76,10,False,Antalya,Male
Kötü şarj süresi. Beklentilerim çok daha yüksekti. 😕,Negative,43,6,False,Izmir,Female
Bu telefonla oyun oynamak inanılmaz keyifli #OyunPerformansı,Positive,159,24,True,Bursa,Male
"Telefonu kullanmaya bayıldım, özellikle gece çekimleri şahane! 🌙📸",Positive,192,33,True,Istanbul,Female
Bu fiyatlar Appleı bırakmamı sağladı ,Sarcastic,58,7,False,Konya,Male
Face ID çok kötü çalışıyor. Hep sorun çıkartıyor! 😠,Negative,31,5,False,Gaziantep,Female
Telefonun tasarımı çok şık ve ele oturuyor ,Positive,149,26,True,Bursa,Male
"Tasarım basit ama güzel, memnunum. 😌",Positive,105,17,True,Izmir,Female
iPhone 16 ile sosyal medya kullanmak çok akıcı ,Positive,86,20,False,Konya,Female
Bu telefon resmen hız canavarı! 🏎️,Positive,42,14,False,Bursa,Female
iPhone 16 ile video izlemek ayrı bir keyif ,Positive,49,12,True,Adana,Male
iPhone 16 ile oyun oynamak müthiş eğlenceli! 🎮,Positive,103,10,True,Antalya,Female
iPhone 16 gerçekten harika Performans müthiş ,Positive,86,23,True,Konya,Female
Kamerası ile gece çekimleri şahane! 🌙,Positive,84,16,False,Ankara,Male
Ekran parlaklığı ve renkler mükemmel ,Positive,49,11,False,Adana,Male
"Hafızası geniş, her şey rahatça sığıyor. 🗂️",Positive,197,17,False,Ankara,Female
Kamera kalitesi beni şaşırttı Çok net çekimler yapıyor #Kamera,Positive,102,21,True,Bursa,Female
"Tasarıma bayıldım, çok şık ve zarif. 😍",Positive,158,5,True,Ankara,Female
iPhone 16 tasarımıyla göz dolduruyor ,Positive,67,9,False,Gaziantep,Male
"Hafif ve ergonomik, elde çok rahat duruyor. ✋",Positive,103,27,False,Ankara,Female
Kamera özellikleri resmen profesyonel #FilmKalitesi,Positive,118,12,False,Konya,Male
"Telefon çok stabil, donma yok! 💯",Positive,77,14,False,Ankara,Female
Performansı beklediğimden çok daha iyi çıktı ,Positive,65,9,True,Adana,Female
Kamerası beklediğim kadar iyi değil. 🤨,Positive,24,6,False,Gaziantep,Male
Sürekli hat kopması yaşıyorum bağlantı zayıf ,Positive,156,22,True,Gaziantep,Male
"Telefon aşırı ağır, ele çok büyük geliyor. 🖐️💢",Positive,109,14,False,Istanbul,Male
Face ID hala sorunlu çalışıyor ,Positive,163,16,False,Bursa,Female
"iPhone 16 sürekli donuyor, hiç akıcı değil. 😡",Positive,197,22,True,Izmir,Male
Bu fiyata bu performans olmaz ,Positive,49,21,False,Antalya,Female
iPhone 16 fiyatına değmiyor. Aşırı pahalı. 💸,Positive,151,20,False,Adana,Male
Bir ay kullanmadan sorunlar başladı ,Positive,74,30,False,Antalya,Female
Telefon çok çabuk ısınıyor. 😓,Positive,186,5,True,Adana,Female
Düşük ışıkta kamera berbat netlik sıfır ,Positive,102,13,False,Adana,Male
"Beklentilerimin çok altında kaldı, hayal kırıklığı. 😔",Positive,47,24,True,Antalya,Female
İşlemci hızını hiç beğenmedim çok yavaş ,Positive,148,29,False,Adana,Female
"Tasarımdan sıkıldım, hep aynı şeyler. 👎",Positive,158,18,True,Gaziantep,Male
Kamera çekimleri çok yavaş ,Positive,196,14,False,Konya,Male
Bu fiyatlara daha ne alabilirim acaba? 😅💸,Positive,63,9,False,Ankara,Female
Bu telefonla zengin olmanın sınırı yok ,Positive,112,25,True,Ankara,Male
Yine mi aynı tasarım Apple? Çok yaratıcı(!) 🙄,Negative,133,30,False,Antalya,Female
Face ID hiç sorun çıkarmıyor ,Negative,60,18,False,Antalya,Male
"Her yıl aynı hikaye, harika(!) 🎭",Negative,96,30,True,Konya,Male
iPhone 16 mükemmel özellikle kamerasına bayıldım #Kamera,Negative,28,10,False,Adana,Male
Şarj süresi harika! Bu telefonla artık şarj sıkıntısı yaşamıyorum. 🔋,Negative,137,27,False,Izmir,Male
Telefon çok hızlı ve kullanımı çok rahat #Hız,Negative,133,10,True,Ankara,Female
"Ekran kalitesi muhteşem, filmler izlemek inanılmaz keyifli. 🎥",Negative,98,21,True,Bursa,Female
Yeni işlemcisiyle çok daha hızlı mükemmel performans ,Negative,124,20,False,Istanbul,Male
"Kamerası profesyonel düzeyde, fotoğraflar müthiş net. 📷",Negative,177,6,False,Adana,Female
Pil ömrü çok uzun gün boyu kullanıyorum ,Negative,143,17,True,Antalya,Female
"Face ID çok hızlı çalışıyor, güvenlik üst düzeyde. 🔐",Negative,64,25,False,Bursa,Female
Telefonun tasarımı harika elde tutması çok keyifli ,Negative,193,24,False,Ankara,Female
Yeni renk seçenekleri çok güzel! Telefon hem şık hem güçlü. 🎨,Negative,62,30,True,Antalya,Male
Video kalitesi inanılmaz tam bir sinema deneyimi sunuyor ,Negative,136,11,False,Istanbul,Male
Hızlı şarj özelliği sayesinde uzun süre şarj beklemiyorum. ⚡,Negative,159,7,False,Adana,Male
Çok dayanıklı düşürdüm ve hala sapasağlam ,Negative,162,28,True,Bursa,Female
Yeni iOS güncellemeleriyle telefon daha da hızlı oldu. 🔄,Negative,120,9,True,Antalya,Female
Telefonun hoparlörü çok net ses veriyor müzik dinlemek keyifli ,Negative,88,26,False,Adana,Female
Ekran parlaklığı dış mekanlarda bile mükemmel. 🌞,Negative,142,9,True,Antalya,Male
Kullanıcı arayüzü çok akıcı iOS inanılmaz hızlı ,Negative,111,24,False,Izmir,Female
"İşlemci çok güçlü, en zor uygulamaları bile kolayca çalıştırıyor. 🔧",Negative,23,12,True,Bursa,Female
iPhone 16 fiyatını hak etmiyor çok pahalı #YüksekFiyat,Negative,23,24,True,Antalya,Female
"Kamerası beklentilerimi karşılamadı, daha iyisini beklerdim. 😕",Negative,57,14,True,Ankara,Female
Pil ömrü düşündüğüm kadar uzun değil çabuk bitiyor #ŞarjSüresi,Negative,55,22,True,Antalya,Male
"Telefon bazen çok ısınıyor, rahatsız edici. 🔥",Positive,86,20,False,Konya,Female
Face ID her zaman çalışmıyor güvenilir değil ,Positive,42,14,False,Bursa,Female
"Tasarımı çok sıradan, hiçbir yenilik yok. 😒",Positive,49,12,True,Adana,Male
Telefon bazen takılıyor özellikle oyun oynarken sorun yaratıyor #OyunPerformansı,Positive,103,10,True,Antalya,Female
"Ekran parlaklığı yeterince iyi değil, dışarıda zor görünüyor. 🌞",Positive,86,23,True,Konya,Female
Apple çok fazla para alıyor değmez ,Positive,84,16,False,Ankara,Male
"Telefon ağır, uzun süre elde tutmak zor. 🏋️",Positive,49,11,False,Adana,Male
Kamera çekim hızı çok yavaş anlık fotoğraflar yakalayamıyorum #Kamera,Positive,197,17,False,Ankara,Female
iPhone 16'da sık sık ağ bağlantı sorunları yaşıyorum. 📶,Positive,102,21,True,Bursa,Female
Telefonu aldıktan kısa süre sonra performans düşmeye başladı ,Positive,158,5,True,Ankara,Female
"Yeni güncellemeler hatalarla dolu, çok can sıkıcı. 🐛",Positive,67,9,False,Gaziantep,Male
Telefonun dış tasarımı çizilmeye çok yatkın ,Positive,103,27,False,Ankara,Female
